finding,found_on,found_by,link_id,retiring_code,what_looked_wrong,error_class,root_cause,response,rows_affected,value_cad_affected,control_added
11,2026-08-11,analyst,imports:3004.90.99.93:1991-06,3004.90.99.93,Tranquilizers were given Anaesthetic,different substance proposed,As finding 9.,already covered; recommendation withheld,28,3266715782,yes
12,2026-08-11,analyst,imports:3004.40.90.11:1997-12,3004.40.90.11,Codeine phosphate was given Quinidine sulphate,different substance proposed,As finding 9. The proposal is itself a retirement.,already covered; chain resolution added,61,0,yes
13,2026-08-11,analyst,imports:3002.10.29.20:1991-04,3002.10.29.20,A code reading for use in animals was given the for use in humans variant,rule blind to a corpus wording,"The veterinary markers were vet and veterinary. The corpus also writes for use in animals, and 36 other descriptions say animal blood or of animal origin which is a material and must not count.",purpose wordings added for the animal side as they were for the human side,398,0,yes
14,2026-08-11,analyst,imports:3006.80.90.42:2006-04,3006.80.90.42,The proposed successor stopped trading in the same year,co-casualty proposed as successor,Two codes ended in the same restructure and neither received the other's trade. The pipeline handed over the next domino instead of the destination.,chain resolution to the terminus added with a cycle guard,61,0,yes
15,2026-08-11,analyst,imports:3006.80.90.30:2005-01,3006.80.90.30,As finding 14; the whole waste pharmaceuticals block collapsed together,co-casualty proposed as successor,As finding 14. Six codes point at each other across four hops before reaching 3006.92.00.00.,chain resolution to the terminus added,61,0,yes
16,2026-08-11,analyst,,,Rows with no closest removed candidate,not a defect,All 87 blanks were rows where nothing had been removed. Verified independently against the ranked file with zero disagreements.,"none; but it exposed that structural narrowing hid candidates invisibly, which was addressed",220,64109610073,yes
17,2026-08-11,"automated review, verified by hand, 2026-08-11",,,Decisions were joined to the queue on row number,join key not stable,Row order is presentation. Changing what the suggestion column recommends moved 214 of 238 row numbers onto different retirements.,link_id built from flow and code and last-traded month,238,0,yes
18,2026-08-11,"automated review, verified by hand, 2026-08-11",,,A concordance naming the successor was never consulted,official record skipped,The lookup keyed on the month trade stopped rather than the year the record calls the code obsolete. Money stops before a classification does.,matched on the obsolete year,8,167730730,yes
19,2026-08-11,"automated review, verified by hand, 2026-08-11",exports:3002.90.10:1988-12,3002.90.10,Two codes that retired in the same month were proposed as each other's successor,reused number read as one life,"code_lifespans collapsed every record into one earliest and latest, so a later reuse made a retired span look alive.",candidate selection and the artefact dates made span-aware,2,8148678,yes
20,2026-08-11,"automated review, verified by hand, 2026-08-11",,,A check was rewriting the file holding judgement,control endangering its artefact,The reordering control planted decisions in the live answer sheet and restored in a finally block. With the file locked the restore failed and orphaned a backup.,the control stands down whenever the sheet holds real work,0,0,yes
21,2026-08-12,analyst,,,Asked whether the waste pharmaceutical codes were part of the patterns,pattern coverage question,"They were in the register as co-casualties but not in the substance pattern, correctly: the term they swap is a heading reference rather than a substance. Checking exposed two rows still recommended while pointing at a code that was itself about to retire.",the co-casualty rule now withholds the recommendation and names the chain terminus,13,157279964,yes
22,2026-08-12,"automated review, verified by hand, 2026-08-12",,,Co-casualty months were computed with the wrong date parser,two date formats confused,"months_gap takes raw YYYYMM and was handed the printed YYYY-MM, so int(""2005-01""[4:]) is int(""-01""). It returned a plausible 23 where the answer was 24 and 0 where it was 9.","a separate months_between for the printed form, and a control exercising both with both forms",13,0,yes
23,2026-08-12,analyst,imports:3004.20.00.42:1990-07,3004.20.00.42,"Kanamycins was given Gentamycins; the same aminoglycoside class, different potency and use",different substance proposed,"Kanamycins is named once in the whole delivery and never returns. Its own class leftover line, Aminoglycoside antibiotics nes, survived every gate and ranked seventeenth of twenty-four at 0.6591 while Gentamycins ranked first at 0.9275.","the parent's leftover lines are now listed on the row, all of them, each with its score",19,0,yes
24,2026-08-12,analyst,imports:3006.80.90.20:2005-10,3006.80.90.20,Two waste rows are connected to each other: one proposes the code the other is retiring,co-casualty proposed as successor,"The chain runs 3006.80.90.10 to .20 to .50 to 3006.92.00.00, each dying within months of the last. Already caught by the co-casualty rule made the same day, before the finding arrived.",none needed; both rows say none and name the terminus,13,157279964,yes
25,2026-08-12,analyst,imports:3004.32.00.82:2001-11,3004.32.00.82,"The same description reappearing years later under a different code, as in finding 6",same goods renumbered after a gap,"Swept every retirement: 122 of 319 have their description reappear later under another code, but 107 of those are immediate renumberings of a month or less. Only 3 carry a gap over a year, and all 3 were already disclosed. The sweep did find 5 rows where the exact twin is not what was proposed, and 3 of those were recommended, one at 0.6923 with the twin starting the month after.",no recommendation is offered where an identical wording sits on a code other than the proposal,5,85361351,yes
26,2026-08-12,analyst,,,The workbook had grown too wide to navigate,artefact usability,"45 columns to fill in five. Everything the pipeline knows belongs somewhere, but not necessarily in the file a person reads to reach a judgement.",the sheet trimmed to 33 columns; the queue keeps all 54 and a control proves nothing was lost,230,0,yes
27,2026-08-12,analyst,,,"The fixes were invisible in the sheet, so the same rows were being flagged twice",correction not visible to the reader,"Every fix withdrew a recommendation and added evidence. None changed the proposed_successor column, which is what a reader scans, so Quinidine still showed Vincristine. The reason text also read identically on five rows.","a verdict column at the front, reasons naming the row's own terms, and WHAT_CHANGED.md on every build",230,0,yes
28,2026-08-12,analyst,,,Similar patterns further down the sheet were still recommended,different substance proposed,swapped_term needs three shared content words and goes quiet where descriptions differ most. Coccidiostats against Antacids shares one. Sharing NO distinctive word flags 56 of the 125 stated successions on its own; requiring neither side be a catch-all brings that to 6.,a nothing-in-common rule that withholds the recommendation and never removes,4,12346077,yes
29,2026-08-12,analyst,,,The sheet had become too wide and too explanatory to adjudicate from,artefact usability,"33 columns, several of them narrating rather than informing. Row 1 showed a decided_against_successor that simply repeated the proposal, and a why_not_recommended on a row already decided, with nothing saying the two were in conflict.",18 columns; alternatives consolidated into one; a check_this_again column that speaks only when a rule now disagrees with a decision already entered,230,0,yes
30,2026-08-12,"automated review, verified by hand, 2026-08-12",,,Seven columns reached the workbook empty while the queue held their values,hand-maintained copy went stale,"The sheet was assembled from a dict literal listing each column by name, and columns added later were never added to it. verdict, the swapped terms and the class residual all arrived blank.","the sheet row is derived from the queue row, so a new column cannot be forgotten",230,0,yes
31,2026-08-12,"automated review, verified by hand, 2026-08-12",,,swapped_term reported plurals and abbreviations as substituted terms,rule too literal,"It flagged use against uses, and formltd hormone against formulated hormones. Three of the eight rows it disagreed with the analyst about were this, not chemistry.","a shallow plural strip inside the rule, and formltd added to the shorthand table",3,0,yes
32,2026-08-12,analyst,,,"The alternative was one unreadable prose column, and calling it best was wrong",artefact usability,"A single string mixing a code, a description, a score and a justification. And if it were the best candidate it would have been proposed, so the name asserted something untrue.","renamed second_alternative and split into the same four columns the proposal has, filled only where the verdict is ANALYST",42,0,yes
33,2026-08-12,analyst,,,Waste pharmaceuticals were offered a second alternative that had died in the same years,rule applied in one place and not another,"passes_every_rule guarded the replacement candidate and nothing else, so the fallback alternatives were unchecked. Every waste row was handed another co-casualty while chain_ends_at already held 3006.92.00.00, where the block actually went.","every alternative is rule-checked, the chain terminus is offered, and a new check audits rule coverage at all three places a code is shown",31,0,yes
34,2026-08-12,"automated review, verified by hand, 2026-08-12",,,The co-casualty rule counted a code still trading at the end of the delivery as having died,rule definition wrong at the data boundary,"3003.49.00 runs to 2026-06, which is where the file ends, not where the code stopped. Two rows were recommended while their proposal was called a co-casualty.","a still_running test, applied in the pipeline and in the audit",2,0,yes
35,2026-08-12,analyst,imports:3002.90.10.10:1996-12,3002.90.10.10,The identical-wording rule withheld a row whose twin was not a rival,"rule right in principle, wrong on one case","The rule assumes the twin and the proposal compete for the same link. Here they are two links in one chain: 3002.90.10.10 goes to 3002.90.00.19, which the record then sends to 3002.90.00.10, the twin. Tested across all five rows the rule fires on, exactly one is downstream and four are genuine forks.",the rule stands down when the twin is reachable by following successions from the proposal,1,17090674,yes
36,2026-08-12,analyst,imports:3004.10.00.14:1997-12,3004.10.00.14,The rule blocked the antibiotic leftover line from being offered,rule applied where it does not belong,"swapped_term asks whether two SPECIFIC descriptions name different things. A leftover line is not specific: it describes a broader class in different words, which reads as a substitution and is an absorption. Amoxycillin against Penicillins or their derivs nes fired, and an amoxycillin is a penicillin. A catch-all that is also an exclusion, such as vaccines o/t against influenza nes, must still fire and does.",swapped_term exempts a catch-all destination that carries no exclusion,6,0,yes
37,2026-08-12,analyst,imports:3004.90.99.93:1991-06,3004.90.99.93,"Asked whether the family constraints had reached Tranquilizers and Anaesthetic, and what else had been missed",coverage gap in a new layer,"Both were covered, and covered badly. Each derived into 'Medicaments nes, for veterinary use', the leftover of a whole subheading, so the pair read as SAME FAMILY when one sedates and the other abolishes sensation. A family that names no class is not a family. Eighteen further codes in withheld rows had no entry at all, mostly aggregate lines and the waste pharmaceuticals block.","therapeutic classes asserted where the derived family is only a subheading leftover, 19 aggregate entries added, and a control forbidding a queue commodity to rest on a generic family with no class",41,0,yes
38,2026-08-12,analyst,,,The family layer was not visible in the file being adjudicated from,"added upstream, not surfaced where it is read","The three family columns went into the queue and never into the sheet. Third time a column has been added in one file and left out of the other. Surfacing it then exposed a worse fault: the provenance was read off the entry as a whole, so Tranquilizers against Anaesthetic was labelled as coming from the tariff when the family was derived and the class that separated them was asserted.","one column in the sheet carrying the finding and the provenance of the fact actually used, with controls that the sheet shows it and that every class verdict reads as asserted",230,0,yes
39,2026-08-12,analyst,,,The relationship described the pair but did not say what to do with it,evidence without guidance,"The sheet said 'different class' and left the reader to work out whether that argued for accept, reject or second. Adding the guidance exposed three faults: it fired on 31 CONFIRM rows and told the reader to reject rows the evidence supports; the family line led the disclosed residual list but not the rule-passing pick, so Polymyxins was offered Antibiotics nes rather than its own Polypeptide line; and an asserted family name did not match the derived string for the same class, so Adrenal cortical against corticosteroid read as different families.","a what_this_points_to column, only on rows that are the analyst's to decide, naming one of the two codes already shown",41,0,yes
40,2026-08-12,analyst,,,The advice named a second alternative but nothing was said about how that code related to the retiring one. The analyst asked whether relationships had been computed for the second alternatives.,evidence given for one code and not the other,"how_they_relate was computed between the retiring code and the proposal alone. The second alternative was named, dated and scored, but never characterised, so a reader told to prefer it was given less evidence for it than for the code it displaces.","Added how_the_second_relates, asking the same question of the other code on the row.",36,,every second alternative offered is also described
41,2026-08-12,"automated review, verified by hand, 2026-08-12",,,"Thirty of forty-one second alternatives reported unknown, including the ones the family layer exists to find.",the strongest fact reported as an absence,"The leftover line is recorded as a POINTER on each member entry and 37 of the 41 lines have no entry of their own, so asking family_of() about one returns nothing. The single most useful relationship the table can express, that the candidate IS the line this code's trade falls into, was reported as unknown.","leads_to_own_line() recognises it, and relationship() reports it ahead of family and class.",10,,the leftover line is recognised by its number and by its wording
42,2026-08-12,"automated review, verified by hand, 2026-08-12",,3004.32.90.12,"Row 13 was advised to take the second alternative because it is the leftover line, while the new column said it was merely the same class.","one rule written twice, in two forms","The advice matched the leftover line on its wording, the new column matched it on its number, and they disagreed because the line keeps its wording across HS revisions but not its number. Betamethasone's recorded family code was one revision's, 3004.32.00.89 another's. Two forms of one question in two files drift apart the moment either is edited.","Both forms moved into leads_to_own_line(), which matches on either. The pipeline's own text comparison was deleted rather than left beside it.",1,,advice to take the second agrees with what the second is said to be
43,2026-08-12,analyst,imports:3004.32.00.90:2001-12,3004.32.00.90,Row 5 was advised to REJECT while the relationship column on the same row said the two are the same kind of medicine. The analyst read it as an accept and asked why it was rejected.,advice contradicting the evidence on its own row,"The branch asking whether any OTHER candidate qualifies was tested before the branch asking what the proposal IS. Whether something else qualifies cannot bear on whether the proposal is right, so an empty alternative overruled a recorded sameness. Adrenal cortical hormones and corticosteroid hormones are one class under two names.",The relationship is tested first. Absence of an alternative now only speaks once the proposal itself is judged different.,2,,no row is advised to reject a proposal the table calls the same
44,2026-08-12,"automated review, verified by hand, 2026-08-12",,,The accept advice ended 'though they are different substances' on every row it fired on.,advice asserting what the table cannot know,"A blanket clause in a template. It was false on five of fourteen: rows 41 and 127 carry wording identical to their proposal, and row 5's two terms are synonyms. The family table records a class, never whether two names denote one substance.",Identical wording is now called identical. A swapped term is named and the reader is asked to confirm the two words mean the same goods rather than told that they do not.,14,,the advice never asserts the two are different substances
45,2026-08-12,"automated review, verified by hand, 2026-08-12",,,WHAT_CHANGED.md said nothing changed on the build that carried fourteen rewritten advice sentences into the workbook.,a change report measuring the wrong file,"Two faults compounding. The snapshot advanced on every build, including builds that skipped a workbook locked open in Excel, so the difference was consumed against a file the reader never saw. And the report was fed the queue rows while the reader reads the sheet, so what_this_points_to, second_alternative and how_the_second_relates, the three columns a decision most turns on, were invisible to it in principle. The watched list still named suggested_decision and why_not_recommended, dropped when the sheet was narrowed.","The snapshot advances only when the workbook was written, and holds the difference otherwise, saying so in the file. The report now reads the sheet rows. The watched set is the columns a reader acts on, is stored alongside the snapshot, and rebaselines rather than flagging all 230 rows when it is widened.",230,,a change is held until the reader's file has actually been written
46,2026-08-12,analyst,imports:3004.40.90.11:1996-12,3004.40.90.11,"Row 24 offered Narcotic veg alkaloids nes as the second alternative for Codeine phosphate, which is that code's own leftover line, while the sheet said neither code offered was its family line.",the tariff nests its leftovers and one column held only one level,"Codeine phosphate's recorded family line is the inner leftover of its own block, Codeine or its derivs nes. That line retires too, twelve months later, so the co-casualty rule removes it and the trade goes to the leftover one level out. The table had no way to say so. A second cause sat beside it: family_name was carrying two kinds of value, the leftover line's own wording for derived entries and asserted prose names such as Narcotic vegetable alkaloids for others, three entries in one block written three ways, so an exact string match answered no for all of them.","enclosing_family_name records the second level with its own source, and names are compared on content words rather than as whole strings. Eleven rows changed and no verdict moved.",11,,an enclosing leftover line is recognised as the code's own
47,2026-08-12,"automated review, verified by hand, 2026-08-12",,,"Rows 41 and 127, whose proposal carries wording identical to the retiring code, were sent to the second alternative.",a weaker test placed ahead of a stronger one,The leftover-line test ran before the identical-wording test. An identical wording is evidence rather than a judgement and must outrank every family test.,Identical wording is tested first.,2,,identical wording outranks the leftover-line rule
48,2026-08-12,"automated review, verified by hand, 2026-08-12",,,The builder reported that 230 rows kept their highlighting on a workbook holding three marks.,a reassuring count that measured the wrong thing,"The count was of rows carrying a style id. Excel writes an explicit style on every cell of the used range when it saves, so after the analyst edited the sheet every row qualified.",coloured_rows resolves each style to its fill and ignores the two Excel reserves for no-fill and grey125. The count is now of rows carrying a colour.,230,,"the marks counted are rows carrying a fill, not rows carrying a style"
49,2026-08-12,"automated review, verified by hand, 2026-08-12",,,Two human-to-veterinary crossings among the second alternatives looked like the use rule failing to reach them.,"WRONG, superseded by finding 58","Tested against the CBSA concordances before changing anything. Two of the 172 official successions with both descriptions known cross human to veterinary, 3004390010 to 3004390090 and 3004500020 to 3004500090, and they are exactly rows 69 and 127. Making the use rule exclusionary would have removed candidates Canada's own record endorses.","Superseded. The concordance rows quoted do endorse a human-to-veterinary succession, but 3004390010 splits three ways in that record, to .11, .19 and .90, and the vet line receives only the vet share. Reading a one-to-many split as a warrant for calling a vet residual a human code's own family line was my error. See finding 58.",2,,none; the ground-truth test is the control
50,2026-08-12,analyst,imports:3004.32.00.82:2001-11,3004.32.00.82,Rows 13 and 31 are the same substance with the same proposal four years apart and were given different advice. The analyst asked whether the family line had been terminated in the later case.,"the tariff nests its leftovers, second occurrence","Correct diagnosis by the analyst. Betamethasone's leftover line 3004.32.00.89 outlives the 1997 retirement by 54 months and the 2001 retirement by one, so the co-casualty rule removes it in the second case and the row falls through to 3004.32.00.19, recorded as Hydrocortisone's family rather than Betamethasone's. 3004.32.00.19 IS the enclosing leftover: .89 ends 2001-12 and .19 begins 2002-01 in the same subheading.",Second level recorded on the four adrenal cortical entries. Rows 13 and 31 now agree.,1,,a leftover line that dies with its member records where the trade went next
51,2026-08-12,"automated review, verified by hand, 2026-08-12",,,"The control written for finding 50 fired on 32 rows, not on the one that prompted it.","a known gap, enumerated rather than guessed","32 codes have a leftover line that retires within the co-casualty window and record no second level. The obvious inference, that the single residual starting the month the line ends is its heir, picks Medicaments cont more than 23% of abs ethyl alc by vol as the successor to Medicaments nes, for human use on nine rows. That is an alcohol-content line, not an enclosing leftover, so auto-filling would turn withheld rows into confident wrong answers.","Not auto-filled. decisions/leftover_line_gaps.csv lists all 32 with the evidence for each, 12 of them a plain renumbering where the same wording restarts under a new number and 20 genuinely open. Three controls hold it closed: no unlisted stranding, no stale entry, and every open gap reports unknown rather than guessing.",32,,no leftover-line gap appears that has not been written down
52,2026-08-12,analyst,exports:3003.41.00:2020-09,3003.41.00,Rows 37 and 38 failed to relate ephedrine to pseudoephedrine in either direction. The analyst asked whether the CONFIRM verdict was the cause.,"coverage gap, one flow filled and the other never revisited","Not the verdict: 33 of the 159 CONFIRM rows carry a relationship, and only the ADVICE is scoped to ANALYST rows. The table was filled one flow at a time. The ephedra group has 11 codes across both flows and 3 were recorded, all under exports, so 3003.41 was absent everywhere and both imports codes were absent.","17 entries added. 12 are the identical description under the other flow, carried across with the original's provenance rather than a new one. 5 complete the ephedra group. 10 relationships became known, including rows 37 and 38.",10,,no code is covered under one flow and absent under the other
53,2026-08-12,"automated review, verified by hand, 2026-08-12",,,"Saxitoxin and malaria test kits were advised to REJECT a residual that plausibly covers them, on the ground that it is a different kind of medicine.",a container read as a kind of medicine,"relationship() compared classes without asking whether the candidate was a catch-all. A residual is a container and the table cannot say it is a different kind of medicine. swapped_term already stands down in exactly this case, so the rule existed and had not reached here.","A catch-all candidate now reports as one, and the advice says accepting it aggregates rather than matches instead of telling the reader to reject it.",3,,a catch-all candidate is never called a different kind of medicine
54,2026-08-12,"automated review, verified by hand, 2026-08-12",,,"Checking the above, 20 rows newly claimed the proposal was the code's own leftover line and 4 of them were false.",a match loosened until it caught the wrong thing,"Comparing family names on content words let a recorded family of Medicaments nes, for human use reduce to two common words, which matched Medicaments affecting electrolytic, caloric/water balance, a specific named line. A leftover line is a residual by definition and the candidate was never required to be one.","The wording path now requires the candidate to be a catch-all. A recorded NUMBER still needs no such guard. Rows 118, 160 and 183 stopped claiming it.",4,,a leftover line matched on wording must be a residual
55,2026-08-12,"automated review, verified by hand, 2026-08-12",,,Two provenance controls failed after the entries were copied across flows.,a fourth provenance invented to describe a procedure,"The copies were labelled copied from the other flow, which sounds procedural and hides whether the underlying fact was derived or asserted. Two of them also claimed a tariff derivation while pointing at no leftover line in their own flow.","A copy now carries the original's provenance. Where no leftover line with that wording exists under the copy's flow, the grouping is an analogy and is labelled asserted.",12,,none new; the two existing provenance controls caught it
56,2026-08-12,analyst,imports:3004.50.99.21:1989-12,3004.50.99.21,Row 48 read different family while its proposal matched the retiring description character for character.,"a classification decided by punctuation, and by a fact that cannot outrank observation","Two causes. One family_name carried a trailing comma and the names were compared as raw strings, so Vitamins-iron preparation was a different family from Vitamins-iron preparation. The deeper cause is that the same commodity can sit in two tariff blocks with two different leftover lines, so the recorded families genuinely differ while the goods are identical. That was true of nine further rows and none was a data error.",Names are compared on their words. Identical descriptions now report as the same commodity under a new number and outrank everything the table holds. 120 of the 230 rows carry identical descriptions and all of them say so.,10,,identical descriptions are never called a different family or class
57,2026-08-12,"automated review, verified by hand, 2026-08-12",,,"The new relation reported 94 rows as the same commodity, asserted, no source.",an observation borrowing a provenance it does not need,"The provenance suffix was applied to every relation, and two of them rest on nothing the table supplied. Identical wording is observed in the two columns beside it, and whether a line is a catch-all is read off its own description. Labelling either as asserted undermines the point of recording provenance at all.",Both now report what they were read from.,108,,an observed relation does not claim the table as its source
58,2026-08-12,analyst,imports:3004.39.00.10:2011-12,3004.39.00.10,"Row 69's retiring description ends 'prepr for parentl admin in hum', meaning administered to humans, and its second alternative is a veterinary line. The analyst had raised this once before and I dismissed it.",a declared rule that one layer never consulted,"The recorded family for epinephrine is the single word Hormones, and one word is contained in almost any hormone line including the veterinary one. The use distinction has been declared decisive, active and disqualifying since 2026-08-05, and the family layer had never read the file. My earlier dismissal cited two CBSA human-to-veterinary successions, but 3004390010 splits three ways in that record, to .11, .19 and .90, and the vet line receives only the vet share. A one-to-many split does not warrant calling a vet residual a human code's own leftover line.","leads_to_own_line now reads decisive_distinctions.csv and refuses any family assignment that crosses an active disqualifying distinction, 14 of them rather than the use rule alone. Row 69 now reads ACCEPT is defensible on 3004.39.00.11, the direct epinephrine successor.",2,,a human code's leftover line is never a veterinary one
59,2026-08-12,"automated review, verified by hand, 2026-08-12",,,After the guard was added the relationship column stopped calling the vet line a leftover line while the advice went on doing so.,"one function asked twice, given different arguments","leads_to_own_line is called once for the relationship column and once for the advice, and only the first was given the retiring wording, without which the new guard cannot fire.",Both calls pass it. A control now requires every SECOND to rest on a leftover line the column also reports.,1,,the advice and the relationship agree about the second alternative
60,2026-08-12,"automated review, verified by hand, 2026-08-12",,,The guard silently did nothing on its first run.,a filter on a column the loader does not return,"load_rules already drops anything not active and does not carry the status column through, so filtering on status emptied the rule list without error.",Filtered on action alone. The control asserts the list is non-empty and contains the use rule.,0,,"the distinctions are read from the declared file, not restated here"
61,2026-08-12,analyst,exports:3002.90.20:2016-11,3002.90.20,The analyst asked what Saxitoxin is and why it is linked to a blood-for-therapy line.,a candidate described in a life that had already closed,"Saxitoxin is a paralytic shellfish neurotoxin and HS heading 30.02 names toxins explicitly, so the residual 3002.90.90 is a structurally sound destination and CBSA's 2016 to 2017 concordance moves the equivalent import code .20 to .90. The wording shown made that impossible to see. The description lookup kept the EARLIEST life of a reused number, so the row printed the 1997 to 2011 wording while the life that receives the trade is a later one. Ten rows were affected, four of them already decided.","description_shown mirrors span_shown and returns the wording from the life that could receive the retirement. Every lookup in the row scope goes through it, so no rule fires on words the sheet does not show.",10,10560605,no proposal is described in a life that had already closed
62,2026-08-12,"automated review, verified by hand, 2026-08-12",imports:3004.10.00.14:2001-11,3004.10.00.14,Row 7's proposal was displayed as Penicillin V while the analyst had decided second on that basis.,a decision taken on a description from the wrong era,"The same lookup fault. The life of the proposed code that receives Amoxycillin's trade is itself described Amoxycillin for human use, in dosage, the retirement's own name, so the row is an identical wording and the sheet was showing a different drug.","Corrected. The row now reads ACCEPT, the wording is identical. The analyst's decision stands until they revisit it and check_this_again names the correction.",4,,a wording corrected under a decision says so
63,2026-08-12,"automated review, verified by hand, 2026-08-12",,,check_this_again said a rule added after you decided this no longer recommends it.,a warning that states a cause it has not established,"The branch fired on every answered row the method does not recommend, whether or not any rule had been added since. It also had no branch at all for the strongest reason to look again, which is that the evidence on the row changed.",A corrected wording is now named and quoted. The remaining branch says only that the row was decided and is still not recommended.,5,,a wording corrected under a decision says so
64,2026-08-12,analyst,exports:3003.42.00:2024-09,3003.42.00,"The analyst asked why row 196 confirms pseudoephedrine into an alkaloids line, and row 193 insulin into the same line, when the classes differ.","one link right and mislabelled, one link wrong","Row 196 is correct and the label is wrong: subheading 3003.4x IS medicaments containing alkaloids, with .41 ephedrine, .42 pseudoephedrine, .43 norephedrine and .49 other, so .49 is pseudoephedrine's own residual. how_they_relate called it a different class because the table holds two different strings for the same idea. Row 193 is a wrong link: insulin is a peptide hormone at 3003.31, whose residual is 3003.39, and it cannot fall to an alkaloids line.","Traced to the ranker, see finding 65. Row 196's mislabelling remains open pending the subheading-residual rule.",2,1445200,none yet; the subheading-residual rule is the fix and is not built
65,2026-08-12,"automated review, verified by hand, 2026-08-12",,,Candidates were scored against the wording they carried when they BEGAN.,a ranker reading the wrong decade,"stage1c_rank.first_descriptions kept each code's earliest wording, stated in its own docstring as the rule. A reused number carries a different description in each life, so 314 candidate rows across 74 retirements were scored against a life that had already closed. Insulin was offered the alkaloids residual because the hormones residual was compared using its 1988 wording, Hormones nes, formulated, in bulk, rather than the wording it has carried since 2002.","wording_at mirrors span_shown and returns the wording in force when the candidate could receive the retirement. 10 proposals changed, 6 of them under an existing decision and all flagged. The 22 rows that differed only by a tie held their place, because the sort key was left alone. Twelve pinned baselines were re-measured with reasons.",10,,no proposal is described in a life that had already closed
66,2026-08-12,"automated review, verified by hand, 2026-08-12",,,Correcting the ranker renumbered 173 of the 230 rows.,an identifier that was really a position,"The row number was the index in the sorted order, so anything that changed a score changed it. Everything outside the sheet refers to rows by that number, including 63 entries in the findings register and every question the analyst has asked in this session.","The number is assigned once and kept, in work/_row_numbers.json, seeded from the numbering already in use. New retirements take the next free number. The sheet still sorts by priority and value; only the label is fixed.",173,,no row has been renumbered since it was first assigned
67,2026-08-12,"automated review, verified by hand, 2026-08-12",exports:3003.31.00:2025-05,3003.31.00,"OPEN. After the ranker fix, insulin proposes Medicaments containing antibiotics nes and the verdict is CONFIRM.",a wrong link promoted to recommended,"The era fix is mechanically right but text similarity still rewards the shared boilerplate, and the frame is nearly all of both descriptions. swapped_term does not fire because each side has 5 unique words against a threshold of 4, and the distinctions file records that raising it flags 17 of Canada's 125 known successions instead of 5. So no existing rule catches it.","NOT FIXED. The analyst is bulk-accepting CONFIRM rows, so this is flagged to them directly. The fix is the subheading-residual rule: a code's own subheading leftover, 3003.39 for insulin, outranks a sibling subheading's residual.",1,850362,none; this finding is open
68,2026-08-12,analyst,,,"Row 66 was the first row in the sheet, above row 1.",a label made stable while the sort was left alone,"Fixing the row number stopped it moving but the file went on sorting by priority and value, so the label and the position disagreed for the first time. That is worse than either arrangement on its own.","The file now reads in row order. The numbers were themselves assigned by priority, so ordering by number preserves the original priority order and never moves again. The priority column is still there to re-sort by.",230,,the file reads in row order
