link_id,row,verdict,status,priority,why_this_needs_you,flow,retiring_code,retiring_description,last_traded,value_cad,proposed_successor,proposed_successor_description,proposed_successor_first_traded,proposed_successor_last_traded,successor_began_at_the_boundary,successor_is_more_aggregate,months_gap,gap_named_by_the_record,suggested_decision,why_not_recommended,wording_match,shared_meaning_words,runner_up,runner_up_description,runner_up_first_traded,runner_up_last_traded,runner_up_wording_match,other_candidates_considered,official_record,closest_removed_candidate,closest_removed_description,closest_removed_first_traded,closest_removed_last_traded,closest_removed_wording_match,closest_removed_why,candidates_removed_on_meaning,record_overruled_gate,official_record_note,record_narrowed_note,best_candidate_passing_every_rule,best_candidate_description,best_candidate_wording_match,best_candidate_is_the_leftover_line,how_they_relate,family_of_the_retiring_code,family_evidence,class_residual_available,class_residual_description,class_residual_wording_match,same_wording_reappears_at,same_wording_reappears_from,same_wording_gap_months,substance_named_again_later,successor_also_retires,chain_ends_at,chain_hops,successor_swaps_a_term,term_in_the_retiring_code,term_in_the_successor,successor_was_carved_out_of_it,carved_out_term,carved_out_by,a_leftover_line_widened_here,widened_line,widened_line_added_terms,widened_line_rank,successor_co_traded_months,codes_never_considered,closest_never_considered,closest_never_considered_description,closest_never_considered_wording_match
imports:3004.40.90.20:1997-07,11,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.40.90.20,"Quinidine sulphate, for human use, in dosage",1997-07,4869341.00,3004.40.00.20,"Vincristine, for human use, in dosage",1998-01,2011-12,no,no,5,no,none,"SAME FRAME, DIFFERENT TERM: quinidine sulphate against vincristine. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.7792,0.5000,3004.40.90.30,"Vincristine, for human use, in dosage",1988-02,1997-11,0.7792,13,no official source reaches this boundary,,,,,,,none,none,no official source reaches 199708,,3004.40.00.80,"Narcotic veg alkaloids or their narc derivs, nes, for human use, in dosage",0.5487,no,different class,Non-narcotic vegetable alkaloids,"asserted, unsourced",3004.40.90.19; 3004.40.90.80; 3004.40.90.90,"Codeine or its derivs nes, for human use, in dosage (0.6813); Narcotic veg alkaloids or their narc derivs, nes, for human use, in dosage (0.5487); Non-narc veg alkaloids or their non-narc derivs, nes, for human use, in dosage (0.5299)",0.6813,,,,NO,,,,yes,quinidine sulphate,vincristine,no,,,no,,,,,343,3004.31.00.90,"Insulin, nes, for human use, in dosage",0.7792
exports:3004.10.10:1988-12,12,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.10.10,"Penicillins or streptomycins and their derivatives,in dosage,for human use",1988-12,3401123.00,3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",1989-01,2026-06,yes,yes,0,no,approve,,0.8955,0.7143,,,,,,0,no official source reaches this boundary,,,,,,,none,none,no official source reaches 198901,,,,,,unknown,,,,,,,,,,,,,no,,,no,,,no,,,,,62,3003.10.00,"Penicillins or streptomycins and their derivatives, formulated, in bulk",0.7692
imports:3004.32.90.12:1997-06,13,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.32.90.12,"Betamethasone, for human use, in dosage",1997-06,1190222.00,3004.32.00.81,"Hydrocortisone, for human use, in dosage",1998-01,2001-12,no,no,6,no,none,"SAME FRAME, DIFFERENT TERM: betamethasone against hydrocortisone. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.7733,0.6000,3004.32.90.11,"Hydrocortisone, for human use, in dosage",1988-01,1997-12,0.7733,4,no official source reaches this boundary,3004.32.00.82,"Betamethasone, for human use, in dosage",2000-11,2001-11,1.0000,continuity,3004.32.00.82 (continuity); 3004.32.00.11 (continuity); 3004.32.00.90 (use); 3004.32.90.20 (use); 3004.32.00.20 (continuity;use); 3004.32.00.19 (continuity); 3004.32.00.00 (continuity),none,no official source reaches 199707,,3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",0.6889,no,same class,"Adrenal cortical hormones, nes, for human use, in dosage","asserted, unsourced",3004.32.90.19,"Adrenal cortical hormones, nes, for human use, in dosage (0.6889)",0.6889,3004.32.00.82,2000-11,40,yes,yes,3004.32.00.11,2,yes,betamethasone,hydrocortisone,no,,,no,,,,,347,3004.90.00.79,"Medicaments nes, for human use, in dosage",0.8421
imports:3004.20.00.52:1996-11,14,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.20.00.52,"Polymyxins, for human use, in dosage",1996-11,1094147.00,3004.20.00.63,"Vancomycin, for human use, in dosage",1988-01,2011-12,no,no,0,no,none,"SAME FRAME, DIFFERENT TERM: polymyxin against vancomycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.8529,0.6000,3004.20.00.41,"Gentamycins, for human use, in dosage",1988-01,2011-12,0.8406,10,no official source reaches this boundary,3004.20.00.71,"Ivermectin, for vet use, in dosage",1989-01,2011-12,0.6667,use,3004.20.00.71 (use); 3004.20.00.79 (use); 3004.20.00.11 (continuity); 3004.20.00.13 (continuity); 3004.20.00.12 (continuity); 3004.20.00.18 (continuity); 3004.20.00.90 (continuity;use); 3004.20.00.80 (continuity;use); 3004.20.00.19 (continuity),none,no official source reaches 199612,,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",0.7671,yes,different family,"Polypeptide antibiotics, nes, for human use, in dosage",derived from the tariff block,3004.20.00.69; 3004.20.00.59; 3004.20.00.39; 3004.20.00.49,"Antibiotics, nes, for human use, in dosage (0.7671); Polypeptides antibiotics, nes, for human use, in dosage (0.7209); Macrolide antibiotics nes, for human use, in dosage (0.6988); Aminoglycoside antibiotics, nes, for human use, in dosage (0.6818)",0.7671,,,,NO,,,,yes,polymyxin,vancomycin,no,,,no,,,,105,344,3004.90.00.42,"Laxatives, for human use, in dosage",0.8358
exports:3004.10.20:1988-12,15,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.10.20,"Penicillins or streptomycins and their derivatives,in dosage,for vet use",1988-12,992811.00,3004.10.00,"Penicillins or streptomycins and their derivatives, in dosage",1989-01,2026-06,yes,yes,0,no,approve,,0.9091,0.7143,,,,,,0,no official source reaches this boundary,,,,,,,none,none,no official source reaches 198901,,,,,,unknown,,,,,,,,,yes,,,,no,,,no,,,no,,,,,62,3003.10.00,"Penicillins or streptomycins and their derivatives, formulated, in bulk",0.7801
exports:3004.20.20:1988-12,16,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.20.20,"Antibiotics nes, in dosage, for veterinary use",1988-12,718992.00,3004.20.00,"Antibiotics nes, in dosage",1989-01,2026-06,yes,yes,0,no,approve,,0.7246,0.5000,,,,,,0,no official source reaches this boundary,,,,,,,none,none,no official source reaches 198901,,,,,,unknown,,,,,,,,,,,,,no,,,no,,,no,,,,,62,3002.30.00,"Vaccines, for veterinary medecine",0.5789
imports:3004.20.00.64:1991-12,17,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.20.00.64,"Lincomycin, for human use, in dosage",1991-12,510594.00,3004.20.00.63,"Vancomycin, for human use, in dosage",1988-01,2011-12,no,no,0,no,none,"SAME FRAME, DIFFERENT TERM: lincomycin against vancomycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.9412,0.6000,3004.20.00.62,"Mitomycin C, for human use, in dosage",1988-03,2011-10,0.8986,11,no official source reaches this boundary,3004.20.00.71,"Ivermectin, for vet use, in dosage",1989-01,2011-12,0.6970,use,3004.20.00.71 (use); 3004.20.00.79 (use); 3004.20.00.12 (continuity); 3004.20.00.13 (continuity); 3004.20.00.11 (continuity); 3004.20.00.18 (continuity); 3004.20.00.80 (continuity;use); 3004.20.00.90 (continuity;use); 3004.20.00.19 (continuity),none,no official source reaches 199201,,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",0.7123,yes,same family,"Antibiotics, nes, for human use, in dosage",derived from the tariff block,3004.20.00.69; 3004.20.00.39; 3004.20.00.59; 3004.20.00.49,"Antibiotics, nes, for human use, in dosage (0.7123); Macrolide antibiotics nes, for human use, in dosage (0.6988); Polypeptide antibiotics, nes, for human use, in dosage (0.6824); Aminoglycoside antibiotics, nes, for human use, in dosage (0.6818)",0.7123,,,,NO,,,,yes,lincomycin,vancomycin,no,,,no,,,,46,350,3004.10.00.13,"Amoxycillin for human use, in dosage",0.8406
exports:3004.43.00:2022-03,18,DO NOT DECIDE - the record does not call this a retirement,"NOT A RETIREMENT, nothing to decide",not a retirement,"the delivery records no termination for this line and the number was never handed to different goods, so trade stopped without the classification ending. There is no transfer to trace and nothing here to answer.",exports,3004.43.00,"Medi,cont norephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2022-03,497680.00,3004.41.00,"Medicaments,cont ephedrin/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01,2026-05,no,no,0,no,none,"SAME FRAME, DIFFERENT TERM: norephedrine against ephedrin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.9290,0.8750,3004.20.00,"Medicaments,cont antibiotics,f therap/prophltc,in doses/frs,o/t No 30.02/05/06",1989-01,2026-06,0.8052,9,a tariff schedule was read and ruled nothing out,3004.42.00,"Medi,cont pseudoephedrine/salts,therap/prophltc,in doses/frs,o/t No 30.02/05/06",2017-01,2026-06,0.9548,stimulant,3004.42.00 (stimulant),none,"the 2022 schedule holds every candidate, so it excludes none",,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",0.8052,no,same class,Non-narcotic vegetable alkaloids,"asserted, unsourced",,,,,,,NO,yes,3004.42.00,2,yes,norephedrine,ephedrin,no,,,no,,,,61,32,3003.42.00,"Medicaments,cont pseudoephedrine/sa,mix,therap/prophltc,nfrs,o/t No 30.02/05/06",0.8129
exports:3004.39.20:1988-12,19,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.39.20,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,vet use",1988-12,304529.00,3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",1989-01,2026-06,yes,yes,0,no,approve,,0.9437,0.7143,,,,,,0,no official source reaches this boundary,,,,,,,none,none,no official source reaches 198901,,,,,,unknown,,,,,,,,,yes,,,,no,,,no,,,no,,,,,62,3003.39.00,"Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",0.7671
imports:3004.40.90.60:1994-03,20,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.40.90.60,"Cocaine or its derivs, for human use, in dosage",1994-03,217467.00,3004.40.90.50,"Morphine or its derivs, for human use, in dosage",1988-01,1997-12,no,no,0,no,none,"SAME FRAME, DIFFERENT TERM: cocaine against morphine. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.9231,0.7143,3004.40.90.19,"Codeine or its derivs nes, for human use, in dosage",1988-01,1997-12,0.9149,8,no official source reaches this boundary,3004.40.00.40,"Morphine or its derivs, for human use, in dosage",1998-01,2016-12,0.9231,continuity,3004.40.00.40 (continuity); 3004.40.00.10 (continuity); 3004.40.00.80 (continuity); 3004.40.00.20 (continuity); 3004.40.00.30 (continuity); 3004.40.00.50 (continuity); 3004.40.00.90 (continuity),none,no official source reaches 199404,,3004.40.90.19,"Codeine or its derivs nes, for human use, in dosage",0.9149,yes,different class,Narcotic vegetable alkaloids,"asserted, unsourced",3004.40.90.19; 3004.40.90.80; 3004.40.90.90,"Codeine or its derivs nes, for human use, in dosage (0.9149); Narcotic veg alkaloids or their narc derivs, nes, for human use, in dosage (0.7069); Non-narc veg alkaloids or their non-narc derivs, nes, for human use, in dosage (0.6500)",0.9149,,,,yes,yes,3004.40.00.40,2,yes,cocaine,morphine,no,,,no,,,,73,353,3004.20.00.10,"Tetracyclines or their derivs, for human use, in dosage",0.8367
imports:3004.20.00.66:1991-01,21,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.20.00.66,"Spectinomycin, for human use, in dosage",1991-01,185394.00,3004.20.00.64,"Lincomycin, for human use, in dosage",1988-01,1991-12,no,no,0,no,none,"SAME FRAME, DIFFERENT TERM: spectinomycin against lincomycin. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.9014,0.6000,3004.20.00.31,"Erythromycin, for human use, in dosage",1988-01,2011-12,0.8767,12,no official source reaches this boundary,3004.20.00.71,"Ivermectin, for vet use, in dosage",1989-01,2011-12,0.6957,use,3004.20.00.71 (use); 3004.20.00.12 (continuity); 3004.20.00.79 (use); 3004.20.00.13 (continuity); 3004.20.00.18 (continuity); 3004.20.00.11 (continuity); 3004.20.00.90 (continuity;use); 3004.20.00.80 (continuity;use); 3004.20.00.19 (continuity),none,no official source reaches 199102,,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",0.7105,yes,same family,"Antibiotics, nes, for human use, in dosage",derived from the tariff block,3004.20.00.69; 3004.20.00.59; 3004.20.00.49; 3004.20.00.39,"Antibiotics, nes, for human use, in dosage (0.7105); Polypeptide antibiotics, nes, for human use, in dosage (0.7273); Aminoglycoside antibiotics, nes, for human use, in dosage (0.6813); Macrolide antibiotics nes, for human use, in dosage (0.6512)",0.7105,,,,NO,"yes, within 11 months",3004.20.00.63,2,yes,spectinomycin,lincomycin,no,,,no,,,,35,354,3004.40.00.50,"Aminophylline, for human use, in dosage",0.8108
imports:3004.90.99.93:1991-06,22,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.90.99.93,"Tranquilizers, for veterinary use, in dosage",1991-06,161155.00,3004.90.99.91,"Anaesthetic, for veterinary use, in dosage",1988-01,1997-12,no,no,0,no,none,"SAME FRAME, DIFFERENT TERM: tranquilizer against anaesthetic. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.7805,0.6000,3004.90.99.99,"Medicaments nes, for veterinary use, in dosage",1988-01,1997-12,0.7674,4,no official source reaches this boundary,3004.90.00.81,"Anaesthetic, for veterinary use, in dosage",1998-01,2011-12,0.7805,continuity,3004.90.00.81 (continuity); 3004.90.00.89 (continuity); 3004.90.00.90 (continuity); 3004.90.00.32 (continuity;use); 3004.90.99.12 (use); 3004.90.00.43 (continuity;use); 3004.90.99.23 (use); 3004.90.00.42 (continuity;use); 3004.90.99.22 (use); 3004.90.00.31 (continuity;use); 3004.90.99.11 (use); 3004.90.00.72 (continuity;use); 3004.90.99.60 (use); 3004.90.00.75 (continuity;use); 3004.90.99.81 (use); 3004.90.00.34 (continuity;use); 3004.90.99.14 (use); 3004.90.00.79 (continuity;use); 3004.90.99.89 (use); 3004.90.00.33 (continuity;use); 3004.90.99.13 (use); 3004.90.00.36 (continuity;use); 3004.90.00.69 (continuity;use); 3004.90.99.16 (use); 3004.90.99.49 (use); 3004.90.00.11 (continuity); 3004.90.00.71 (continuity;use); 3004.90.99.50 (use); 3004.90.99.71 (use); 3004.90.00.49 (continuity;use); 3004.90.99.29 (use); 3004.90.00.41 (continuity;use); 3004.90.99.21 (use); 3004.90.00.77 (continuity;use); 3004.90.99.83 (use); 3004.90.00.73 (continuity;use); 3004.90.00.61 (continuity;use); 3004.90.00.23 (continuity;use); 3004.90.99.41 (use); 3004.90.00.74 (continuity;use); 3004.90.99.79 (use); 3004.90.00.78 (continuity;use); 3004.90.99.84 (use); 3004.90.00.25 (continuity;use); 3004.90.00.24 (continuity;use); 3004.90.00.19 (continuity); 3004.90.00.22 (continuity;use); 3004.90.00.35 (continuity;use); 3004.90.99.15 (use); 3004.90.00.50 (continuity;use); 3004.90.99.30 (use); 3004.90.00.12 (continuity); 3004.90.00.27 (continuity;use); 3004.90.00.39 (continuity;use); 3004.90.99.19 (use); 3004.90.00.76 (continuity;use); 3004.90.99.82 (use); 3004.90.00.20 (continuity); 3004.90.00.29 (continuity;use); 3004.90.00.26 (continuity;use); 3004.90.00.21 (continuity),none,no official source reaches 199107,,3004.90.99.99,"Medicaments nes, for veterinary use, in dosage",0.7674,yes,different class,"Medicaments nes, for veterinary use, in dosage","asserted, unsourced",3004.90.99.99,"Medicaments nes, for veterinary use, in dosage (0.7674)",0.7674,,,,yes,yes,3004.90.00.81,2,yes,tranquilizer,anaesthetic,no,,,no,,,,40,307,3004.32.00.20,"Corticosteriod hormones, for veterinary use, in dosage",0.7234
